user_id,source,category
4e4f90fcfb,context,Электроника
373a6055fe,other,Бытовая техника
9f39d307c3,context,Электроника
704474fa2d,other,Продукты
b71f36a5e4,other,Продукты
ff68cee0d6,context,Бытовая техника
b9ef8fdf47,other,Продукты
98d290be27,other,Электроника
54ecd881a2,other,Бытовая техника
22d2f03a17,context,Досуг
c9fa1b54d5,other,Продукты
81a9988b83,context,Электроника
6df948569b,other,Бытовая техника
5f8fbb0149,other,Бытовая техника
dd0e912251,other,Электроника
37c4e090e4,other,Электроника
73b876b237,context,Электроника
4ea17212f8,other,Продукты
4175fd2e58,other,Электроника
d8e3bcee53,context,Продукты
4a92a68cf9,other,Электроника
393bcfb298,other,Продукты
b60ce22f17,other,Электроника
564202f6bd,context,Электроника
8fd957a463,other,Продукты
7f5f56e517,other,Досуг
17639fe89d,other,Досуг
bc4ebda0df,other,Досуг
d2c560746d,other,Бытовая техника
fe52ded300,other,Электроника
f660dbcc3f,context,Электроника
66bea9bf58,other,Бытовая техника
16dc76e94d,other,Электроника
365e3edd2e,other,Бытовая техника
830421d975,other,Продукты
77465a0b61,other,Бытовая техника
871c1fa9ae,other,Продукты
6cb42b2632,email,Бытовая техника
c7f6fbe42f,other,Бытовая техника
63df9ee9d3,context,Электроника
af24cffd03,context,Электроника
24300c6d1c,other,Электроника
40fe35eb76,email,Строительство и ремонт
b7e640032f,other,Электроника
00ea2f7484,other,Электроника
0d479d4259,other,Электроника
2c8067b7a3,other,Продукты
d39a1d56c3,context,Бытовая техника
78ed39a415,other,Электроника
fd2c2b59b9,context,Бытовая техника
9e765c6822,other,Продукты
c21b82499e,context,Электроника
eded5c6792,context,Досуг
d20bf10c78,other,Бытовая техника
ea10f78fec,other,Продукты
de85ea0eb6,other,Электроника
9d25ac3886,context,Досуг
ddf1af2d3f,other,Бытовая техника
c5e1bf636a,context,Электроника
91802f78b2,other,Электроника
f46375940f,context,Досуг
06569907e6,other,Бытовая техника
ec11793734,other,Продукты
f9a3ef9ac2,context,Продукты
426fa041ad,other,Электроника
e63af2c8b8,other,Бытовая техника
85ff218333,other,Строительство и ремонт
